v4_1,Data Marking,mmm-yy,Time,countries,Geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,seasonal-adjustment,SeasonalAdjustment
3.8,,Jun-09,Jun-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
0.4,,Jun-09,Jun-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
8.3,,Jun-09,Jun-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
8.3,,Jun-09,Jun-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
-0.7,,Jun-09,Jun-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
3.8,,Jul-09,Jul-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
17.9,,Jul-09,Jul-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
11.4,,Jul-09,Jul-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
11.3,,Jul-09,Jul-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
4.4,,Jul-09,Jul-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
16.2,,Aug-09,Aug-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
13.3,,Aug-09,Aug-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
3.5,,Aug-09,Aug-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
13.6,,Aug-09,Aug-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
1.8,,Aug-09,Aug-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
13.2,,Sep-09,Sep-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
2.4,,Sep-09,Sep-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
16.7,,Sep-09,Sep-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
16.2,,Sep-09,Sep-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
2.3,,Sep-09,Sep-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
15.4,,Oct-09,Oct-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
11.8,,Oct-09,Oct-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
13.4,,Oct-09,Oct-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
-1.7,,Oct-09,Oct-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
-2.4,,Oct-09,Oct-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
3.2,,Nov-09,Nov-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
2.3,,Nov-09,Nov-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
14.0,,Nov-09,Nov-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
11.8,,Nov-09,Nov-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
10.8,,Nov-09,Nov-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
-0.1,,Dec-09,Dec-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
11.4,,Dec-09,Dec-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
-1.0,,Dec-09,Dec-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
10.9,,Dec-09,Dec-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
9.4,,Dec-09,Dec-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
9.6,,Jan-10,Jan-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
-7.2,,Jan-10,Jan-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
-5.6,,Jan-10,Jan-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
4.6,,Jan-10,Jan-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
8.7,,Jan-10,Jan-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
3.1,,Feb-10,Feb-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
15.3,,Feb-10,Feb-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
9.7,,Feb-10,Feb-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
18.1,,Feb-10,Feb-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
4.1,,Feb-10,Feb-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
9.3,,Mar-10,Mar-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
12.3,,Mar-10,Mar-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
1.7,,Mar-10,Mar-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
2.0,,Mar-10,Mar-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
8.4,,Mar-10,Mar-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
2.6,,Apr-10,Apr-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
13.2,,Apr-10,Apr-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
9.8,,Apr-10,Apr-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
0.4,,Apr-10,Apr-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
6.6,,Apr-10,Apr-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
10.8,,May-10,May-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
-1.7,,May-10,May-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
5.4,,May-10,May-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
6.9,,May-10,May-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
-1.1,,May-10,May-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
10.1,,Jun-10,Jun-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
-0.2,,Jun-10,Jun-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
5.8,,Jun-10,Jun-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
-0.7,,Jun-10,Jun-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
5.4,,Jun-10,Jun-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
5.5,,Jul-10,Jul-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
4.8,,Jul-10,Jul-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
11.2,,Jul-10,Jul-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
6.6,,Jul-10,Jul-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
5.8,,Jul-10,Jul-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
11.7,,Aug-10,Aug-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
6.8,,Aug-10,Aug-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
4.0,,Aug-10,Aug-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
8.5,,Aug-10,Aug-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
3.7,,Aug-10,Aug-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
3.2,,Sep-10,Sep-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
7.1,,Sep-10,Sep-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
-1.8,,Sep-10,Sep-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
-2.7,,Sep-10,Sep-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
5.8,,Sep-10,Sep-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
1.2,,Oct-10,Oct-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
10.3,,Oct-10,Oct-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
5.8,,Oct-10,Oct-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
0.8,,Oct-10,Oct-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
6.6,,Oct-10,Oct-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
0.6,,Nov-10,Nov-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
5.1,,Nov-10,Nov-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
-2.5,,Nov-10,Nov-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
3.4,,Nov-10,Nov-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
-2.6,,Nov-10,Nov-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
12.1,,Dec-10,Dec-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
6.6,,Dec-10,Dec-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
4.4,,Dec-10,Dec-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
6.0,,Dec-10,Dec-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
4.5,,Dec-10,Dec-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
0.3,,Jan-11,Jan-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
19.2,,Jan-11,Jan-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
14.3,,Jan-11,Jan-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
0.1,,Jan-11,Jan-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
6.7,,Jan-11,Jan-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
0.8,,Feb-11,Feb-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
16.6,,Feb-11,Feb-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
9.8,,Feb-11,Feb-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
